transecto,tempo,Henrique,Elildo,ambiente,Obs,S1,S2,B,grupo_max,total,Latitude,Longitude,Altitude,Data,Compriment,Azimute_Gr,Velocidade_km_h,id_view,FID_2,setor,aero,dens.observ
a4,t3,0,0,,,0,0,0,0,0,1.55070413835,-50.4952084087,97,26/nov/2017 10:48:32,1541,178.490381471,184.9,a4t3,3,Piratuba_Noroeste,eurocopter,0
a4,t4,0,0,,,0,0,0,0,0,1.53692160733,-50.4950365797,105,26/nov/2017 10:49:02,1524,179.281170166,182.9,a4t4,3,Piratuba_Noroeste,eurocopter,0
a4,t5,0,0,,,0,0,0,0,0,1.52291318402,-50.4947073385,96,26/nov/2017 10:49:32,1549,178.645034856,185.93,a4t5,3,Piratuba_Noroeste,eurocopter,0
a4,t6,0,0,,,0,0,0,0,0,1.508969469,-50.4945150577,95,26/nov/2017 10:50:02,1542,179.204909172,185.04,a4t6,3,Piratuba_Noroeste,eurocopter,0
a4,t7,0,0,,,0,0,0,0,0,1.49520822801,-50.4944344237,103,26/nov/2017 10:50:32,1522,179.662133668,182.6,a4t7,3,Piratuba_Noroeste,eurocopter,0
a4,t8,0,0,,,0,0,0,0,0,1.48150205612,-50.4942511115,103,26/nov/2017 10:51:02,1516,179.228845142,181.88,a4t8,3,Piratuba_Noroeste,eurocopter,0
a4,t9,0,0,,,0,0,0,0,0,1.46775481291,-50.4942533746,109,26/nov/2017 10:51:32,1520,180.00949262,182.41,a4t9,3,Piratuba_Noroeste,eurocopter,0
a5,t1,0,0,c,foto de grupo: fora?,0,0,0,0,0,1.21552322991,-50.4748731572,81,26/nov/2017 11:12:32,1425,358.291277018,171,a5t1,4,Piratuba_ Araguari,eurocopter,0
a5,t10,0,0,m,,0,0,0,0,0,1.33461833932,-50.4771579802,101,26/nov/2017 11:17:02,1484,0.255656604897,178.12,a5t10,3,Piratuba_Noroeste,eurocopter,0
a5,t11,0,0,c,,0,0,0,0,0,1.34801572189,-50.4770970438,92,26/nov/2017 11:17:32,1481,0.262284125745,177.77,a5t11,3,Piratuba_Noroeste,eurocopter,0
a5,t12,0,0,c,,0,0,0,0,0,1.36168300174,-50.4766608495,83,26/nov/2017 11:18:02,1512,1.83977201783,181.45,a5t12,3,Piratuba_Noroeste,eurocopter,0
a5,t13,0,0,c,,0,0,0,0,0,1.37512891553,-50.4770229477,95,26/nov/2017 11:18:32,1487,358.447460167,178.49,a5t13,3,Piratuba_Noroeste,eurocopter,0
a5,t14,0,0,c,,0,0,0,0,0,1.38791961595,-50.4769114684,83,26/nov/2017 11:19:02,1414,0.502573336034,169.73,a5t14,3,Piratuba_Noroeste,eurocopter,0
a5,t15,0,0,c,,0,0,0,0,0,1.40057821758,-50.4770667851,84,26/nov/2017 11:19:32,1400,359.292512918,167.98,a5t15,3,Piratuba_Noroeste,eurocopter,0
a5,t16,0,0,cm,,0,0,0,0,0,1.41343597323,-50.4772387818,94,26/nov/2017 11:20:02,1422,359.228680292,170.63,a5t16,3,Piratuba_Noroeste,eurocopter,0
a5,t17,0,0,m,,0,0,0,0,0,1.42644016072,-50.477234507,96,26/nov/2017 11:20:32,1438,0.0189553993449,172.55,a5t17,3,Piratuba_Noroeste,eurocopter,0
a5,t18,0,0,m,,0,0,0,0,0,1.44020592794,-50.4768041801,84,26/nov/2017 11:21:02,1523,1.8020032534,182.75,a5t18,3,Piratuba_Noroeste,eurocopter,0
a5,t19,0,0,m,,0,0,0,0,0,1.45368888974,-50.4766103905,104,26/nov/2017 11:21:32,1491,0.828729843434,178.94,a5t19,3,Piratuba_Noroeste,eurocopter,0
a5,t2,0,0,c,foto acima usada como base,0,1,0,20,20,1.22841359116,-50.4756023828,97,26/nov/2017 11:13:02,1428,356.741132358,171.33,a5t2,4,Piratuba_ Araguari,eurocopter,48.1292173226679
a5,t20,0,0,c,,0,0,0,0,0,1.46700630896,-50.4765754379,114,26/nov/2017 11:22:02,1473,0.151339782921,176.71,a5t20,3,Piratuba_Noroeste,eurocopter,0
a5,t21,0,0,cm,,0,0,0,0,0,1.48040922359,-50.4764563311,113,26/nov/2017 11:22:32,1482,0.512411339914,177.85,a5t21,3,Piratuba_Noroeste,eurocopter,0
a5,t22,0,0,c,,0,0,0,0,0,1.49345448241,-50.476279892,102,26/nov/2017 11:23:02,1443,0.779839921053,173.12,a5t22,3,Piratuba_Noroeste,eurocopter,0
a5,t23,0,0,m,,0,0,0,0,0,1.50618726388,-50.4768271465,98,26/nov/2017 11:23:32,1409,357.523244854,169.11,a5t23,3,Piratuba_Noroeste,eurocopter,0
a5,t24,0,0,c,,0,0,0,0,0,1.51915993541,-50.4771051742,104,26/nov/2017 11:24:02,1435,358.764404243,172.18,a5t24,3,Piratuba_Noroeste,eurocopter,0
a5,t25,0,0,m,,0,0,0,0,0,1.53221525252,-50.4773562122,95,26/nov/2017 11:24:32,1444,358.891386355,173.27,a5t25,3,Piratuba_Noroeste,eurocopter,0
a5,t26,0,0,c,,0,0,0,0,0,1.5454162471,-50.4772174079,95,26/nov/2017 11:25:02,1460,0.606261190257,175.17,a5t26,3,Piratuba_Noroeste,eurocopter,0
a5,t27,0,0,cm,,0,0,0,0,0,1.55863928609,-50.477273399,85,26/nov/2017 11:25:32,1462,359.75584698,175.46,a5t27,3,Piratuba_Noroeste,eurocopter,0
a5,t28,0,0,cm,,0,0,0,0,0,1.57195578329,-50.4772987962,92,26/nov/2017 11:26:02,1472,359.890031363,176.7,a5t28,3,Piratuba_Noroeste,eurocopter,0
a5,t29,0,0,cm,,0,0,0,0,0,1.58492577262,-50.4772423021,105,26/nov/2017 11:26:32,1434,0.25114902751,172.11,a5t29,3,Piratuba_Noroeste,eurocopter,0
a5,t3,1,1,c,,0,0,1,1,1,1.24184760265,-50.4757455457,101,26/nov/2017 11:13:32,1486,359.385467978,178.27,a5t3,4,Piratuba_ Araguari,eurocopter,2.22094887819872
a5,t4,0,8,c,,0,1,0,8,10,1.25530709513,-50.4760765471,95,26/nov/2017 11:14:02,1489,358.582096914,178.65,a5t4,4,Piratuba_ Araguari,eurocopter,18.8516960635302
a5,t4,0,2,c,,0,1,0,2,10,1.25530709513,-50.4760765471,95,26/nov/2017 11:14:02,1489,358.582096914,178.65,a5t4,4,Piratuba_ Araguari,eurocopter,4.71292401588255
a5,t5,0,0,c,,0,0,0,0,0,1.26943957061,-50.4766932875,80,26/nov/2017 11:14:32,1564,357.485006511,187.71,a5t5,4,Piratuba_ Araguari,eurocopter,0
a5,t6,0,0,m,,0,0,0,0,0,1.2824261561,-50.4772454873,104,26/nov/2017 11:15:02,1438,357.549437234,172.5,a5t6,4,Piratuba_ Araguari,eurocopter,0
a5,t7,0,0,m,,0,0,0,0,0,1.29516782239,-50.4773002211,105,26/nov/2017 11:15:32,1409,359.752283919,169.07,a5t7,4,Piratuba_ Araguari,eurocopter,0
a5,t8,0,0,c,,0,0,0,0,0,1.3083072938,-50.4771625903,94,26/nov/2017 11:16:02,1453,0.604013754508,174.36,a5t8,4,Piratuba_ Araguari,eurocopter,0
a5,t9,0,0,c,,0,0,0,0,0,1.32119497284,-50.4772174917,105,26/nov/2017 11:16:32,1425,359.754342904,171.01,a5t9,3,Piratuba_Noroeste,eurocopter,0
a6,t1,0,0,c,,0,0,0,0,0,1.5801722277,-50.4595524631,84,26/nov/2017 11:28:32,1693,179.045133703,203.21,a6t1,3,Piratuba_Noroeste,eurocopter,0
a6,t10,0,0,c,,0,0,0,0,0,1.44917171448,-50.4595731664,104,26/nov/2017 11:33:02,1560,178.470375985,187.23,a6t10,3,Piratuba_Noroeste,eurocopter,0
a6,t11,0,0,c,,0,0,0,0,0,1.4350347966,-50.4593785387,93,26/nov/2017 11:33:32,1563,179.206176427,187.61,a6t11,3,Piratuba_Noroeste,eurocopter,0
a6,t12,0,2,cm,,0,1,0,2,2,1.42129794694,-50.4592808895,92,26/nov/2017 11:34:02,1519,179.590099636,182.28,a6t12,3,Piratuba_Noroeste,eurocopter,4.77049164686913
a6,t13,0,0,c,,0,0,0,0,0,1.40753159299,-50.4591596033,96,26/nov/2017 11:34:32,1522,179.491971868,182.67,a6t13,3,Piratuba_Noroeste,eurocopter,0
a6,t14,0,0,cm,,0,0,0,0,0,1.39390303753,-50.4591241479,108,26/nov/2017 11:35:02,1507,179.849982594,180.84,a6t14,3,Piratuba_Noroeste,eurocopter,0
a6,t15,0,0,c,,0,0,0,0,0,1.37983124703,-50.4592207074,108,26/nov/2017 11:35:32,1556,180.395686228,186.72,a6t15,3,Piratuba_Noroeste,eurocopter,0
a6,t16,0,0,c,,0,0,0,0,0,1.36562978849,-50.4589379858,111,26/nov/2017 11:36:02,1571,178.852156658,188.48,a6t16,3,Piratuba_Noroeste,eurocopter,0
a6,t17,0,0,c,,0,0,0,0,0,1.35086037219,-50.4588768817,98,26/nov/2017 11:36:32,1633,179.76142677,195.98,a6t17,3,Piratuba_Noroeste,eurocopter,0
a6,t18,0,0,c,,0,0,0,0,0,1.3359716814,-50.459192628,101,26/nov/2017 11:37:02,1647,181.222744953,197.6,a6t18,3,Piratuba_Noroeste,eurocopter,0
a6,t19,0,0,c,,0,0,0,0,0,1.32142346352,-50.4590260796,102,26/nov/2017 11:37:32,1609,179.339862883,193.05,a6t19,4,Piratuba_ Araguari,eurocopter,0
a6,t2,0,0,c,,0,0,0,0,0,1.56536308117,-50.4595284909,80,26/nov/2017 11:29:02,1638,179.90666303,196.5,a6t2,3,Piratuba_Noroeste,eurocopter,0
a6,t20,0,0,cm,,0,0,0,0,0,1.30746164359,-50.4588136822,100,26/nov/2017 11:38:02,1544,179.122800441,185.28,a6t20,4,Piratuba_ Araguari,eurocopter,0
a6,t21,0,0,m,,0,0,0,0,0,1.2937818747,-50.4586847685,105,26/nov/2017 11:38:32,1513,179.456581149,181.53,a6t21,4,Piratuba_ Araguari,eurocopter,0
a6,t22,0,0,c,,0,0,0,0,0,1.27964923158,-50.4583569523,102,26/nov/2017 11:39:02,1563,178.662609834,187.58,a6t22,4,Piratuba_ Araguari,eurocopter,0
